ACCEPT	Kabul Et.
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
NPC_TITLE	Hýzlý Market
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile (F5)
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile (F5)
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Kov
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Ruh Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_NORMAL	Alan
GUILD_WAR_WARP	Arena
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü: orta veya sað fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü: sað veya orta fare tuþu ile
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HP	Hayat Puaný (HP)
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ^ , Y veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çýkýþ
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çýkýþ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
DEP_TITLE	Ek Envanter
ALC_TITLE	Simya Penceresi
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_DELETE_FRIEND	Arkadaþ Sil
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIMIZE	Küçült
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarasý Gir
OPTION_MOBILE	Cep Telefonu
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PICK_MONEY_TITLE	Bölmek
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_INFO	Yükseltme þansý : 
REFINE_COST	Yükseltme bedeli : 
NEW_OK	|cff00C78CTamam	
NEW_NO	|cff00C78CHayýr
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Burada yeniden baþla
RESTART_TOWN	Þehirde yeniden baþla
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_YES_GUILD	Lonca adý: %s
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Baþla
SELECT_SP	SP
SELECT_TITLE	Baþlýk Seç
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardým
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Önceki Hýzlý Giriþ Alaný[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
MULTILANGUAGE_SYSTEM_TEXT	Multilanguage system: This system allows you to choose the language you want for the client.
MULTILANGUAGE_SYSTEM	Multilanguage system

SYSTEM_MOVE_CHANNEL	Kanal deðiþtir
CT_BANKA_BASLIK	Çevrimdýþý Tezgâh Bankasý
CT_BANKA_MEVCUT_YANG	Mevcut yang miktarý:
CT_BANKA_MEVCUT_WON	Mevcut won miktarý:
CT_BANKA_CEKILMEK_ISTENEN_MIKTAR	Çekilmek istenen miktar:
CT_BANKA_INFO	--- KAZANÇ HER BEÞ SANÝYEDE BÝR YENÝLENÝR ---
CT_BANKA_YANG_CEK	Çek
CT_BANKA_VAZGEC	Vazgeç
CT_ADMIN_FIYAT_DEGIS	Fiyat Deðiþ
CT_ADMIN_PANEL_BASLIK	Tezgâh Yönetim Paneli
CT_ADMIN_PAZAR_AC	Tezgâh Aç
CT_ADMIN_PAZAR_KAPAT	Tezgâhý Kapat
CT_ADMIN_BANKA	Banka
CT_ADMIN_SATILMAYANLAR	Satýlmayanlar
CT_ADMIN_TEZGAHIM	Tezgâhým
CT_ADMIN_MERHABA	Merhaba
CT_SURE_ONAYLA	Onayla
CT_SURE_TAMAM	Tamam
CT_SURE_VAZGEC	Vazgeç
CT_SURE_1_SAAT	12 Saat
CT_SURE_2_SAAT	1 gün
CT_SURE_4_SAAT	3 gün
CT_SURE_SURESIZ_SAAT	1 hafta
CT_SURE_BASLIK_2	Çevrimdýþý Tezgâh
CT_KUR_BASLIK	Çevrimdýþý Tezgâhýn Ýsmi ve Süresi
CT_UCRET_1M	Ücret: 50.000 Yang
CT_UCRET_2M	Ücret: 100.000 Yang
CT_UCRET_3M	Ücret: 250.000 Yang
CT_UCRET_4M	Ücret: 500.000 Yang
TASKBAR_OFFLINE_SHOP	Offline Shop
OFFLINE_SHOP_TITLE	Çevrimdýþý dükkan
PRIVATESHOPSEARCH_BUY	Satýn al
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	Ýsim
PRIVATESHOPSEARCH_ITEMTYPE	Nesneler
PRIVATESHOPSEARCH_JOB	Sýnýf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Nesne Seviyesi
PRIVATESHOPSEARCH_SEARCH	Arama
PRIVATESHOPSEARCH_SEARCH_BAR	Ara
PRIVATESHOPSEARCH_SELECT	Seç
PRIVATESHOPSEARCH_SELLER	Satýcý
SASH_ABSORB	Bonus Emiþi
SASH_COMBINE	Kombinasyon
SASH_MAIN	Kuþak 1
SASH_RESULT	Sonuç
SASH_SERVE	Kuþak 2
MYSHOP_DECO_13	Sonraki
MYSHOP_DECO_14	Kapat
MYSHOP_DECO_15	Geri dön
MYSHOP_DECO_16	Tamam
MYSHOP_DECO_17	Görünümünüzü seçin
UPGRADE_STORAGE_TITLE	Ek Envanter
UPGRADE_STORAGE_UPGRADE	Yükseltme
UPGRADE_STORAGE_BOOK	Beceri Kitabý
UPGRADE_STORAGE_STONE	Taþ
UPGRADE_STORAGE_UPGRADE1	Yükseltme Envanteri
UPGRADE_STORAGE_BOOK1	Cor Envanteri
UPGRADE_STORAGE_STONE1	Gaya Envanteri
UPGRADE_STORAGE_CHEST1	Sandýk Envanteri
UPGRADE_STORAGE_ATTR1	Cevher Envanteri
LOGIN_SAVE	Kaydet
LOGIN_DELETE	Kayýt Sil
SECURITY_TITLE	Güvenlik Sistemi
SECURITY_ENTER_PASSWORD	Güvenlik þifrenizi girin:
SECURITY_LOST_PASSWORD	Þifremi Unuttum
SECURTY_WHAT_IS_THIS	Bu Nedir
SECURTY_INFO	Hesap çalýnmalarý ve soyulmalarýnýn önüne geçmek için geliþtirilen bir sistem.
SECURTY_CHANGE_PASSWORD	Þifremi Deðiþtir
SECURITY_CREATE_PASSWORD	Güvenlik þifresi oluþturun: 
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Metin2 Okey Kart Oyunu
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Kapat
OPTION_NIGHT_MODE_ON	Aç
OPTION_SNOW_MODE	Kar Yaðýþý
OPTION_SNOW_MODE_OFF	Kapat
OPTION_SNOW_MODE_ON	Aç
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Kapat
OPTION_SNOW_TEXTURE_MODE_ON	Aç
PASSWORD_RESTART	Þifremi unuttum
STORAGE_WITH_INV	Envanter ile birlikte açýlsýn mý?
AURA_YUKSELTPANEL	Aura giysisini yükselt
AURA_BONUSEMISPANEL	Aura giysisine bonus emdir
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
BOSS_TRACKING_WINDOW_TITLE	Zindan Takip
BOSS_TRACKING_SELECT_WINDOW_TITLE	Bakmak Ýstediðin Tabloyu Seç
BOSS_TRACKING_SELECT_BUTTON1	Patron Bilgisi
BOSS_TRACKING_SELECT_BUTTON2	Zindan Takip
BOSS_TRACKING_INFO_CHANNEL	6 Kanalda da çýkmaktadýr.
BOSS_TRACKING_INFO_WINDOW_TITLE	Patron Bilgisi 
BOSS_TRACKING_RANKING_WINDOW_TITLE	Sýralama 
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_RENEWAL_BELT_IMPROVE	Þansý artýr
CUBE_RENEWAL_TITLE	Arýndýrma
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
TASKBAR_MONEY_EXPAND	Bakiye
SKILL_COLOR_TITLE	Renk seç
SKILL_COLOR_PRESET_TITLE	Hazýr Renk Ayarý
SKILL_COLOR_PRESET_SELECT	Bir renk seçin
SKILL_COLOR_PRESET_SAVE	Seçilen renk kodunu kaydet
SKILL_COLOR_PRESET_CLEAR	Seçilen renk kodunu temizle
SKILL_COLOR_CUSTOM_COLOR_CODE_TITLE	Renk Kodu
SKILL_COLOR_DEFAULT	Varsayýlan rengi kullan
SKILL_COLOR_CHANGE	Rengi deðiþtir
SKILL_COLOR_CANCEL	Ýptal
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini deðiþtir
PET_ATTR_CONFIRMATION	Deðiþtir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Beslenme Çantasý
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Adlandýr
PET_HATCHING_NIK	Pet Ýsmi
PET_HATCHING_WINDOW_TITLE	Kuluçka
PET_INFORMATION_ABILITIES	Bonuslar
PET_INFORMATION_AGE	Yaþ
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Defans
PET_INFORMATION_EVOL_BUTTON	Geliþtir
PET_INFORMATION_EXP	Deneyim Puaný
PET_INFORMATION_EXP_BUTTON	Nesne Tecrübesi
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	STR
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Deðiþtir
PET_NAME_CHANGE_WINDOW_TITLE	Pet Ýsim Ýzi
PET_SYSTEM_FEED	Besle
PET_SYSTEM_PET_NAME	Evcil Hayvan Ýsmi
PET_SYSTEM_HATCH	Oluþtur
PET_SYSTEM_LEVEL	Seviye
PET_SYSTEM_EXP	Deneyim Puaný
PET_SYSTEM_AGE	Yaþ
PET_SYSTEM_DURATION	Süre
PET_SYSTEM_EVOLVE	Geliþtir
PET_SYSTEM_ITEM_EXP	Nesne Tecrübesi
PET_SYSTEM_BONUSES	Bonuslar
PET_SYSTEM_INCUBATOR	Kuluçka Makinesi
PET_SYSTEM_HP	Can
PET_SYSTEM_DEF	Savunma
PET_SYSTEM_ATTACK	Hasar
PET_BESLE	Besle
PET_CELIK_TOPLA	Sadece Çelikleri toplamanýzý saðlar.
PET_COR_TOPLA	Sadece Cor Draconis toplamanýzý saðlar.
PET_DENEYIM	Tecrübe
PET_EVENT_TOPLA	Sadece Etkinlik itemlerini toplamanýzý saðlar.
PET_EVRIM	Geliþme
PET_FIYAT	Fiyat: 100.000 Yang
PET_GIZLE	Petlerin gizlenmesini saðlar.
PET_HEPSINI_TOPLA	Tüm itemleri toplamanýzý saðlar.
PET_ISMI	Pet Ýsmi
PET_KITAP_TOPLA	Sadece Beceri Kitaplarýný toplamanýzý saðlar.
PET_KOSTUM_TOPLA	Sadece Kostümleri toplamanýzý saðlar.
PET_KULUCKA	Kuluçka
PET_LV3_SPECIAL_EVO	Seviye 3 (Özel Evrim)
PET_NESNE_EXP	Nesne EXP
PET_RUH_TASI_TOPLA	Sadece Ruh Taþlarýný toplamanýzý saðlar.
PET_SANDIK_TOPLA	Sadece Sandýklarý toplamanýzý saðlar.
PET_SILAH_TOPLA	Sadece 75Lvl silahlarý toplamanýzý saðlar.
PET_SUPER_BABY_WHITE_DRAGON	Süper Beyaz Bebek Ejder
PET_SURE	Süre
PET_TAKI_TOPLA	Sadece Takýlarý toplamanýzý saðlar.
PET_YAS	Yaþ
PET_YUKSELTME_TOPLA	Sadece Yükseltme Ýtemlerini toplamanýzý saðlar.
PET_YUMURTADAN_CIK	Yumurtadan Çýk
BUTTON_1	Zindan Takip Sistemi
BUTTON_2	Patron Takip Sistemi
BUTTON_3	Efsun Botu 
BUTTON_4	Uzak Market Sistemi
BUTTON_5	Biyolog Ýþlemleri
BUTTON_6	Won-Yang Ýþlemleri
BUTTON_7	Güvenlik Kilidi
BUTTON_8	Güvenli Bilgisayar
SPEED_BUTTON_TITLE	Hýzlý Eriþim Penceresi (TAB)
LOG_SPEED_BUTTON_TITLE	Ticaret Geçmiþ
PASSWORD_RESTART	Þifremi unuttum
FREE	Hesap Kaydet
NOID_OR_PASSWORD	Þifre veya K.Adý Hatalý
ACCOUNT_HAS_REGISTERED	Kaydedildi!
NO_DELETE_ACCOUNT	Silinecek bir hesap yok!
ACCOUNT_HAS_DELETED	Hesabýnýz Silindi!
YOU_CAN_DELETE_1ST_SPACE	1.Hesap
YOU_CAN_DELETE_2ND_SPACE	2.Hesap
YOU_CAN_DELETE_3RD_SPACE	3.Hesap
YOU_CAN_DELETE_4TH_SPACE	4.Hesap
