ITEMÎ≤àÌò∏	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	ÏÉÅÏ†ê ÌåêÎß§Í∞Ä	ÏÉÅÏ†êÏóêÏÑú ÏÇ¥ Îïå	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	ADDON_TYPE3	ADDON_VALUE3	ADDON_TYPE4	ADDON_VALUE4	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON	MASK_ITEM_TYPE	MASK_ITEM_SUBTYPE
18	µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		100	500	19	9	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	56	80	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
19	µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		100	750	0	0	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	63	100	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
20	¿Â∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	400	21	1	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	0	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
21	¿Â∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	500	22	2	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	7	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
22	¿Â∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	500	23	3	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	14	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
23	¿Â∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	500	24	4	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	21	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
24	¿Â∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	500	25	5	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	28	30	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
25	¿Â∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	1000	26	6	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	35	40	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
26	¿Â∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	1000	27	7	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	42	50	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
27	¿Â∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	1500	28	8	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	49	65	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
28	¿Â∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	2000	29	9	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	56	80	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
29	¿Â∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		400	3000	0	0	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	63	100	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
30	ø˘µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	600	31	1	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	0	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
31	ø˘µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	600	32	2	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	7	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
32	ø˘µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	600	33	3	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	14	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
33	ø˘µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	1000	34	4	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	21	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
34	ø˘µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	1000	35	5	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	28	30	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
35	ø˘µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	1500	36	6	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	35	40	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
36	ø˘µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	1500	37	7	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	42	50	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
37	ø˘µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	2000	38	8	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	49	65	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
38	ø˘µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	3000	39	9	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	56	80	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
39	ø˘µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		600	4500	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	63	100	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
40	ºº∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	800	41	1	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	0	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
41	ºº∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	1000	42	2	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	7	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
42	ºº∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	1000	43	3	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	14	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
43	ºº∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	1000	44	4	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	21	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
44	ºº∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	1500	45	5	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	28	30	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
45	ºº∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	1500	46	6	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	35	40	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
46	ºº∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	2000	47	7	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	42	50	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
47	ºº∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	3000	48	8	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	49	65	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
48	ºº∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	4000	49	9	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	56	80	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
49	ºº∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		800	6000	0	0	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	63	100	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
50	≥∂æ∆µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	3000	51	1	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	0	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
51	≥∂æ∆µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	3500	52	2	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	7	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
52	≥∂æ∆µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	3500	53	3	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	14	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
53	≥∂æ∆µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	4000	54	4	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	21	0	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
54	≥∂æ∆µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	5000	55	5	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	28	30	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
55	≥∂æ∆µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	6500	56	6	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	35	40	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
56	≥∂æ∆µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	8000	57	7	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	42	50	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
57	≥∂æ∆µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	11000	58	8	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	49	65	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
58	≥∂æ∆µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	15500	59	9	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	56	80	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
59	≥∂æ∆µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON		3000	23000	0	0	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	63	100	1	0	MASK_ITEM_TYPE_EQUIPMENT_WEAPON	MASK_ITEM_SUBTYPE_WEAPON_WEAPON_SWORD
